Age,Annual Income,Home Ownership,Employment Length (Years),Loan Purpose,Loan Grade,Loan Amount,Interest Rate (%),Loan to Income Ratio,Previous Default History,Credit History Length (Years),Debt to Income Ratio,Credit Utilization Ratio,Number of Open Credit Accounts,Number of Late Payments,"Loan Status (0=Approved, 1=Default)"
52,124862,RENT,22,MEDICAL,E,27663,19.11,0.22,N,25,0.09,0.14,7,9,1
63,140420,OWN,11,HOMEIMPROVEMENT,B,41770,19.13,0.3,N,40,0.55,0.27,13,11,1
59,91540,RENT,17,EDUCATION,A,12412,14.73,0.14,N,34,0.46,0.53,8,7,0
63,94676,OWN,14,EDUCATION,C,1567,8.51,0.02,Y,31,0.06,0.31,10,8,1
27,143984,RENT,6,PERSONAL,A,25099,7.55,0.17,N,4,0.59,0.83,12,3,0
22,20846,OWN,2,MEDICAL,E,14703,13.63,0.71,N,1,0.47,0.26,6,3,1
29,112930,MORTGAGE,5,EDUCATION,E,33276,20.98,0.29,N,8,0.35,0.59,10,10,1
27,139454,RENT,7,PERSONAL,B,22017,8.39,0.16,N,6,0.37,0.25,3,2,0
23,114786,OWN,3,PERSONAL,A,19594,14.89,0.17,N,3,0.1,0.75,11,10,0
32,91939,OWN,4,MEDICAL,A,19526,13.63,0.21,Y,11,0.52,0.72,5,4,1
43,108151,OWN,8,PERSONAL,E,29850,6.48,0.28,Y,10,0.43,0.61,9,7,1
25,114585,MORTGAGE,3,PERSONAL,B,10815,14.88,0.09,N,2,0.15,0.21,12,10,0
48,71986,RENT,26,EDUCATION,C,36247,11.69,0.5,Y,19,0.46,0.31,7,10,1
38,148765,OWN,0,EDUCATION,B,32795,8.06,0.22,Y,12,0.15,0.69,1,7,1
22,63148,OWN,1,MEDICAL,A,4577,19.69,0.07,N,2,0.43,0.82,8,11,1
39,107225,RENT,2,PERSONAL,C,25423,11.01,0.24,N,1,0.1,0.94,1,11,0
41,77395,MORTGAGE,17,VENTURE,C,10386,10.88,0.13,N,17,0.1,0.71,8,4,0
42,64361,RENT,22,MEDICAL,A,39286,11.32,0.61,N,13,0.57,0.95,7,0,1
57,43777,MORTGAGE,19,EDUCATION,E,21914,15.24,0.5,N,18,0.23,0.37,13,11,1
39,72142,RENT,19,PERSONAL,A,5493,9.5,0.08,N,4,0.1,0.31,1,7,0
50,35583,OWN,0,EDUCATION,A,25853,11.03,0.73,N,14,0.58,0.35,9,11,1
63,109051,OWN,27,HOMEIMPROVEMENT,A,1726,16.99,0.02,N,42,0.16,0.4,11,9,0
55,139377,RENT,4,PERSONAL,D,39285,11.57,0.28,N,4,0.51,0.37,12,11,1
51,90690,RENT,0,MEDICAL,D,14767,17.38,0.16,Y,22,0.12,0.25,12,11,1
62,138037,OWN,28,VENTURE,E,40328,14.68,0.29,Y,35,0.49,0.78,10,10,1
35,46017,OWN,3,MEDICAL,C,13201,21.87,0.29,N,10,0.55,0.28,13,1,0
34,68043,MORTGAGE,14,HOMEIMPROVEMENT,A,2245,19.73,0.03,N,10,0.14,0.47,8,6,0
35,126235,RENT,9,HOMEIMPROVEMENT,C,12844,16.97,0.1,N,7,0.59,0.66,12,3,0
56,131100,MORTGAGE,30,VENTURE,B,35094,19.07,0.27,N,3,0.51,0.9,12,9,1
39,106338,RENT,17,EDUCATION,A,11420,15.96,0.11,N,19,0.58,0.2,2,3,0
44,140384,RENT,15,VENTURE,D,41204,15.07,0.29,N,14,0.35,0.91,3,6,1
42,84204,MORTGAGE,8,HOMEIMPROVEMENT,A,45768,14.6,0.54,N,16,0.08,0.58,1,7,0
28,33275,MORTGAGE,6,VENTURE,D,15915,21.57,0.48,N,5,0.33,0.26,1,0,1
29,99741,OWN,0,PERSONAL,C,6452,11.2,0.06,N,2,0.28,0.92,6,6,1
23,33261,OWN,1,EDUCATION,B,9312,10.16,0.28,N,2,0.11,0.54,1,9,0
50,62238,OWN,30,VENTURE,B,42773,9.86,0.69,N,19,0.57,0.48,2,8,1
57,87143,RENT,32,VENTURE,C,4574,11.05,0.05,N,16,0.41,0.44,1,8,0
48,104793,RENT,18,MEDICAL,A,31807,21.16,0.3,N,13,0.08,0.58,2,9,0
23,105107,MORTGAGE,3,EDUCATION,B,43185,9.1,0.41,Y,2,0.43,0.93,11,8,1
55,106213,OWN,36,EDUCATION,A,29404,7.42,0.28,N,33,0.33,0.14,10,3,0
